,date,interest,change
0,2022-05-10,0.770,0.00
1,2022-05-09,0.770,0.00
2,2022-05-06,0.770,0.00
3,2022-05-05,0.770,0.00
4,2022-05-04,0.770,-0.65
5,2022-05-03,0.775,0.65
6,2022-05-02,0.770,0.00
7,2022-04-29,0.770,0.00
8,2022-04-28,0.770,-0.65
9,2022-04-27,0.775,-1.90
10,2022-04-26,0.790,0.00
11,2022-04-25,0.790,0.00
12,2022-04-22,0.790,0.00
13,2022-04-21,0.790,-0.63
14,2022-04-20,0.795,3.25
15,2022-04-19,0.770,-0.65
16,2022-04-18,0.775,0.65
17,2022-04-15,0.770,-0.65
18,2022-04-14,0.775,0.65
19,2022-04-13,0.770,0.65
20,2022-04-12,0.765,0.00
21,2022-04-11,0.765,-0.65
22,2022-04-08,0.770,0.65
23,2022-04-07,0.765,-0.65
24,2022-04-06,0.770,2.67
25,2022-04-05,0.750,0.00
26,2022-04-04,0.750,0.00
27,2022-04-01,0.750,4.17
28,2022-03-31,0.720,-4.00
29,2022-03-30,0.750,10.29
30,2022-03-29,0.680,0.00
31,2022-03-28,0.680,63.86
32,2022-03-25,0.415,-1.19
33,2022-03-24,0.420,1.20
34,2022-03-23,0.415,0.00
35,2022-03-22,0.415,0.00
36,2022-03-21,0.415,0.00
37,2022-03-18,0.415,1.22
38,2022-03-17,0.410,-1.20
39,2022-03-16,0.415,1.22
40,2022-03-15,0.410,2.50
41,2022-03-14,0.400,1.27
42,2022-03-11,0.395,-1.25
43,2022-03-10,0.400,0.00
44,2022-03-09,0.400,0.00
45,2022-03-08,0.400,-1.23
46,2022-03-07,0.405,-1.22
47,2022-03-04,0.410,3.80
48,2022-03-03,0.395,-1.25
49,2022-03-02,0.400,2.56
50,2022-03-01,0.390,-1.27
51,2022-02-28,0.395,0.00
52,2022-02-25,0.395,3.95
53,2022-02-24,0.380,-5.00
54,2022-02-23,0.400,0.00
55,2022-02-22,0.400,0.00
56,2022-02-21,0.400,0.00
57,2022-02-18,0.400,0.00
58,2022-02-17,0.400,-1.23
59,2022-02-16,0.405,1.25
60,2022-02-15,0.400,0.00
61,2022-02-14,0.400,-3.61
62,2022-02-11,0.415,1.22
63,2022-02-10,0.410,0.00
64,2022-02-09,0.410,1.23
65,2022-02-08,0.405,1.25
66,2022-02-07,0.400,-1.23
67,2022-02-04,0.405,0.00
68,2022-02-03,0.405,0.00
69,2022-02-02,0.405,0.00
70,2022-02-01,0.405,0.00
71,2022-01-31,0.405,0.00
72,2022-01-28,0.405,1.25
73,2022-01-27,0.400,0.00
74,2022-01-26,0.400,0.00
75,2022-01-25,0.400,0.00
76,2022-01-24,0.400,0.00
77,2022-01-21,0.400,-3.61
78,2022-01-20,0.415,-3.49
79,2022-01-19,0.430,0.00
80,2022-01-18,0.430,0.00
81,2022-01-17,0.430,-4.44
82,2022-01-14,0.450,-5.26
83,2022-01-13,0.475,-1.04
84,2022-01-12,0.480,0.00
85,2022-01-11,0.480,-2.04
86,2022-01-10,0.490,6.52
87,2022-01-07,0.460,4.55
88,2022-01-06,0.440,2.33
89,2022-01-05,0.430,0.00
90,2022-01-04,0.430,-4.44
91,2022-01-03,0.450,-2.17
92,2021-12-31,0.460,0.00
93,2021-12-30,0.460,10.84
94,2021-12-29,0.415,2.47
95,2021-12-28,0.405,1.25
96,2021-12-27,0.400,-1.23
97,2021-12-24,0.405,0.00
98,2021-12-23,0.405,1.25
99,2021-12-22,0.400,17.65
100,2021-12-21,0.340,1.49
101,2021-12-20,0.335,-1.47
102,2021-12-17,0.340,1.49
103,2021-12-16,0.335,0.00
104,2021-12-15,0.335,0.00
105,2021-12-14,0.335,0.00
106,2021-12-13,0.335,0.00
107,2021-12-10,0.335,0.00
108,2021-12-09,0.335,0.00
109,2021-12-08,0.335,0.00
110,2021-12-07,0.335,6.35
111,2021-12-06,0.315,-5.97
112,2021-12-03,0.335,1.52
113,2021-12-02,0.330,0.00
114,2021-12-01,0.330,-2.94
115,2021-11-30,0.340,1.49
116,2021-11-29,0.335,1.52
117,2021-11-26,0.330,-7.04
118,2021-11-25,0.355,1.43
119,2021-11-24,0.350,0.00
120,2021-11-23,0.350,2.94
121,2021-11-22,0.340,-1.45
122,2021-11-19,0.345,0.00
123,2021-11-18,0.345,-1.43
124,2021-11-17,0.350,6.06
125,2021-11-16,0.330,0.00
126,2021-11-15,0.330,3.13
127,2021-11-12,0.320,1.59
128,2021-11-11,0.315,5.00
129,2021-11-10,0.300,1.69
130,2021-11-09,0.295,1.72
131,2021-11-08,0.290,-3.33
132,2021-11-05,0.300,-3.23
133,2021-11-04,0.310,3.33
134,2021-11-03,0.300,1.69
135,2021-11-02,0.295,-1.67
136,2021-11-01,0.300,-1.64
137,2021-10-29,0.305,-1.61
138,2021-10-28,0.310,0.00
139,2021-10-27,0.310,-4.62
140,2021-10-26,0.325,3.17
141,2021-10-25,0.315,6.78
142,2021-10-22,0.295,5.36
143,2021-10-21,0.280,-1.75
144,2021-10-20,0.285,0.00
145,2021-10-19,0.285,1.79
146,2021-10-18,0.280,3.70
147,2021-10-15,0.270,-1.82
148,2021-10-14,0.275,3.77
149,2021-10-13,0.265,-3.64
150,2021-10-12,0.275,1.85
151,2021-10-11,0.270,0.00
152,2021-10-08,0.270,0.00
153,2021-10-07,0.270,5.88
154,2021-10-06,0.255,2.00
155,2021-10-05,0.250,0.00
156,2021-10-04,0.250,0.00
157,2021-10-01,0.250,-3.85
158,2021-09-30,0.260,4.00
159,2021-09-29,0.250,0.00
160,2021-09-28,0.250,4.17
161,2021-09-27,0.240,6.67
162,2021-09-24,0.225,4.65
163,2021-09-23,0.215,-2.27
164,2021-09-22,0.220,0.00
165,2021-09-21,0.220,0.00
