,date,interest,change
0,2022-03-03,0.460,5.75
1,2022-02-10,0.435,-13.00
2,2022-01-25,0.500,-1.96
3,2022-01-21,0.510,0.00
4,2022-01-18,0.510,0.00
5,2022-01-14,0.510,4.08
6,2022-01-12,0.490,-2.00
7,2022-01-10,0.500,0.00
8,2022-01-07,0.500,-7.41
9,2022-01-04,0.540,5.88
10,2021-12-29,0.510,0.00
11,2021-12-23,0.510,-3.77
12,2021-12-16,0.530,0.00
13,2021-12-15,0.530,-29.33
14,2021-11-18,0.750,0.00
15,2021-11-17,0.750,0.00
16,2021-11-16,0.750,1.35
17,2021-11-11,0.740,0.00
18,2021-11-09,0.740,-2.63
19,2021-11-08,0.760,-1.30
20,2021-11-05,0.770,0.00
21,2021-11-04,0.770,0.00
22,2021-11-03,0.770,-3.75
23,2021-11-01,0.800,0.00
24,2021-10-29,0.800,1.27
25,2021-10-27,0.790,0.00
26,2021-10-26,0.790,-1.25
27,2021-10-25,0.800,0.00
28,2021-10-21,0.800,-1.23
29,2021-10-20,0.810,2.53
30,2021-10-19,0.790,0.00
31,2021-10-14,0.790,0.00
32,2021-10-11,0.790,6.76
33,2021-10-08,0.740,0.00
34,2021-10-07,0.740,0.00
35,2021-10-06,0.740,0.00
36,2021-10-05,0.740,1.37
37,2021-10-04,0.730,0.00
38,2021-10-01,0.730,1.39
39,2021-09-30,0.720,2.86
40,2021-09-29,0.700,-1.41
41,2021-09-28,0.710,0.00
42,2021-09-27,0.710,4.41
43,2021-09-23,0.680,0.00
44,2021-09-22,0.680,0.00
45,2021-09-21,0.680,-1.45
46,2021-09-20,0.690,-2.82
47,2021-09-17,0.710,4.41
48,2021-09-16,0.680,0.00
49,2021-09-15,0.680,0.00
50,2021-09-14,0.680,1.49
51,2021-09-13,0.670,0.00
52,2021-09-10,0.670,-1.47
53,2021-09-09,0.680,1.49
54,2021-09-08,0.670,1.52
55,2021-09-07,0.660,0.00
56,2021-09-06,0.660,0.00
57,2021-09-03,0.660,4.76
58,2021-09-01,0.630,0.00
59,2021-08-31,0.630,0.00
60,2021-08-30,0.630,1.61
61,2021-08-27,0.620,0.00
62,2021-08-26,0.620,-1.59
63,2021-08-25,0.630,-1.56
64,2021-08-24,0.640,0.00
65,2021-08-23,0.640,1.59
66,2021-08-20,0.630,0.00
67,2021-08-19,0.630,0.00
68,2021-08-18,0.630,0.00
69,2021-08-17,0.630,1.61
70,2021-08-16,0.620,0.00
71,2021-08-13,0.620,0.00
72,2021-08-11,0.620,1.64
73,2021-08-10,0.610,-1.61
74,2021-08-09,0.620,-1.59
75,2021-08-06,0.630,1.61
76,2021-08-05,0.620,-3.12
77,2021-08-04,0.640,0.00
78,2021-08-03,0.640,-1.54
79,2021-08-02,0.650,-1.52
80,2021-07-30,0.660,0.00
81,2021-07-29,0.660,0.00
82,2021-07-27,0.660,0.00
83,2021-07-23,0.660,0.00
84,2021-07-22,0.660,1.54
85,2021-07-21,0.650,6.56
86,2021-07-20,0.610,0.00
87,2021-07-19,0.610,0.00
88,2021-07-16,0.610,0.00
89,2021-07-15,0.610,32.61
90,2021-07-14,0.460,0.00
91,2021-07-13,0.460,0.00
92,2021-07-12,0.460,0.00
93,2021-07-09,0.460,0.00
94,2021-07-08,0.460,-2.13
95,2021-07-07,0.470,0.00
96,2021-07-06,0.470,2.17
97,2021-07-05,0.460,-2.13
98,2021-07-02,0.470,0.00
99,2021-07-01,0.470,0.00
100,2021-06-30,0.470,0.00
101,2021-06-29,0.470,0.00
102,2021-06-28,0.470,0.00
103,2021-06-25,0.470,0.00
104,2021-06-24,0.470,-2.08
105,2021-06-23,0.480,0.00
106,2021-06-22,0.480,-2.04
107,2021-06-21,0.490,0.00
108,2021-06-18,0.490,0.00
109,2021-06-17,0.490,2.08
110,2021-06-16,0.480,0.00
111,2021-06-15,0.480,0.00
112,2021-06-14,0.480,0.00
113,2021-06-11,0.480,0.00
114,2021-06-10,0.480,0.00
115,2021-06-09,0.480,0.00
116,2021-06-08,0.480,0.00
117,2021-06-07,0.480,0.00
118,2021-06-04,0.480,-2.04
119,2021-06-02,0.490,0.00
120,2021-06-01,0.490,0.00
121,2021-05-31,0.490,2.08
122,2021-05-28,0.480,0.00
123,2021-05-27,0.480,0.00
124,2021-05-25,0.480,0.00
125,2021-05-24,0.480,0.00
126,2021-05-21,0.480,2.13
127,2021-05-20,0.470,0.00
128,2021-05-19,0.470,0.00
129,2021-05-18,0.470,0.00
130,2021-05-17,0.470,0.00
131,2021-05-14,0.470,2.17
132,2021-05-13,0.460,2.22
133,2021-05-12,0.450,0.00
134,2021-05-11,0.450,0.00
135,2021-05-10,0.450,50.00
136,2021-05-07,0.300,0.00
137,2021-05-06,0.300,0.00
138,2021-05-05,0.300,0.00
139,2021-04-30,0.300,-3.23
140,2021-04-29,0.310,0.00
141,2021-04-28,0.310,-3.12
142,2021-04-27,0.320,-11.11
143,2021-04-26,0.360,0.00
144,2021-04-23,0.360,0.00
145,2021-04-22,0.360,-2.70
146,2021-04-21,0.370,0.00
147,2021-04-20,0.370,-2.63
148,2021-04-19,0.380,0.00
149,2021-04-16,0.380,2.70
150,2021-04-12,0.370,0.00
151,2021-04-09,0.370,-2.63
152,2021-04-08,0.380,-2.56
153,2021-04-07,0.390,-2.50
154,2021-04-05,0.400,8.11
155,2021-04-02,0.370,-5.13
156,2021-04-01,0.390,0.00
157,2021-03-31,0.390,0.00
158,2021-03-30,0.390,0.00
159,2021-03-29,0.390,0.00
160,2021-03-26,0.390,0.00
161,2021-03-25,0.390,0.00
162,2021-03-24,0.390,-2.50
163,2021-03-23,0.400,-2.44
164,2021-03-22,0.410,-2.38
165,2021-03-19,0.420,-10.64
166,2021-03-18,0.470,-4.08
167,2021-03-17,0.490,-2.00
168,2021-03-16,0.500,-1.96
169,2021-03-15,0.510,0.00
170,2021-03-12,0.510,0.00
171,2021-03-11,0.510,2.00
172,2021-03-10,0.500,-1.96
173,2021-03-09,0.510,-3.77
174,2021-03-08,0.530,0.00
175,2021-03-05,0.530,1.92
176,2021-03-04,0.520,0.00
177,2021-03-03,0.520,-5.45
178,2021-03-02,0.550,-1.79
179,2021-03-01,0.560,0.00
180,2021-02-25,0.560,7.69
181,2021-02-24,0.520,1.96
182,2021-02-23,0.510,0.00
183,2021-02-22,0.510,6.25
184,2021-02-19,0.480,0.00
185,2021-02-18,0.480,-4.00
186,2021-02-17,0.500,6.38
187,2021-02-16,0.470,0.00
188,2021-02-15,0.470,2.17
189,2021-02-11,0.460,0.00
190,2021-02-10,0.460,0.00
191,2021-02-09,0.460,0.00
192,2021-02-08,0.460,2.22
193,2021-02-05,0.450,-2.17
194,2021-02-04,0.460,0.00
195,2021-02-03,0.460,4.55
196,2021-02-02,0.440,2.33
197,2021-02-01,0.430,-2.27
198,2021-01-29,0.440,4.76
199,2021-01-28,0.420,-2.33
200,2021-01-27,0.430,0.00
201,2021-01-26,0.430,0.00
202,2021-01-25,0.430,-4.44
203,2021-01-22,0.450,0.00
204,2021-01-21,0.450,0.00
205,2021-01-20,0.450,0.00
206,2021-01-19,0.450,0.00
207,2021-01-18,0.450,2.27
208,2021-01-15,0.440,0.00
209,2021-01-14,0.440,10.00
210,2021-01-13,0.400,0.00
211,2021-01-12,0.400,2.56
212,2021-01-11,0.390,2.63
213,2021-01-08,0.380,-5.00
214,2021-01-07,0.400,5.26
215,2021-01-06,0.380,8.57
216,2021-01-05,0.350,6.06
217,2021-01-04,0.330,-5.71
218,2020-12-30,0.350,0.00
219,2020-12-29,0.350,-5.41
220,2020-12-28,0.370,0.00
221,2020-12-25,0.370,0.00
222,2020-12-24,0.370,8.82
223,2020-12-23,0.340,0.00
224,2020-12-22,0.340,0.00
225,2020-12-21,0.340,3.03
226,2020-12-18,0.330,-2.94
227,2020-12-17,0.340,-5.56
228,2020-12-16,0.360,-5.26
229,2020-12-15,0.380,-5.00
230,2020-12-14,0.400,-4.76
231,2020-12-09,0.420,-10.64
232,2020-12-08,0.470,0.00
233,2020-12-04,0.470,-2.08
234,2020-12-03,0.480,-4.00
235,2020-12-02,0.500,-1.96
236,2020-12-01,0.510,-1.92
237,2020-11-30,0.520,-0.95
238,2020-11-27,0.525,0.96
239,2020-11-26,0.520,-0.95
240,2020-11-25,0.525,-0.94
241,2020-11-24,0.530,0.00
242,2020-11-23,0.530,0.00
243,2020-11-20,0.530,0.00
244,2020-11-19,0.530,-1.85
245,2020-11-18,0.540,0.93
246,2020-11-17,0.535,0.00
247,2020-11-16,0.535,0.00
248,2020-11-13,0.535,-0.93
249,2020-11-12,0.540,-1.82
250,2020-11-11,0.550,-3.51
251,2020-11-10,0.570,2.70
252,2020-11-09,0.555,0.00
253,2020-11-06,0.555,-1.77
254,2020-11-05,0.565,-0.88
255,2020-11-04,0.570,0.00
256,2020-11-03,0.570,0.88
257,2020-11-02,0.565,0.89
258,2020-10-30,0.560,0.00
259,2020-10-29,0.560,0.00
260,2020-10-28,0.560,0.00
261,2020-10-27,0.560,-1.75
262,2020-10-26,0.570,-0.87
263,2020-10-22,0.575,-0.86
264,2020-10-21,0.580,0.00
265,2020-10-20,0.580,0.00
266,2020-10-19,0.580,0.00
267,2020-10-16,0.580,0.00
268,2020-10-15,0.580,-0.85
269,2020-10-14,0.585,0.00
270,2020-10-12,0.585,1.74
271,2020-10-09,0.575,0.00
272,2020-10-08,0.575,0.00
273,2020-10-07,0.575,0.88
274,2020-10-06,0.570,0.00
275,2020-10-05,0.570,0.00
276,2020-10-02,0.570,1.79
277,2020-10-01,0.560,0.90
278,2020-09-30,0.555,0.91
279,2020-09-29,0.550,0.00
280,2020-09-28,0.550,0.00
281,2020-09-25,0.550,0.00
282,2020-09-24,0.550,1.85
283,2020-09-23,0.540,0.00
284,2020-09-22,0.540,0.00
285,2020-09-21,0.540,0.00
286,2020-09-18,0.540,1.89
287,2020-09-17,0.530,3.92
288,2020-09-16,0.510,-1.92
289,2020-09-15,0.520,1.96
290,2020-09-14,0.510,0.00
291,2020-09-11,0.510,-1.92
292,2020-09-10,0.520,1.96
293,2020-09-09,0.510,0.00
294,2020-09-08,0.510,0.00
295,2020-09-03,0.510,0.00
296,2020-09-02,0.510,-1.92
297,2020-09-01,0.520,0.00
298,2020-08-31,0.520,0.00
299,2020-08-28,0.520,1.96
300,2020-08-27,0.510,-1.92
301,2020-08-26,0.520,6.12
302,2020-08-25,0.490,0.00
303,2020-08-24,0.490,0.00
304,2020-08-21,0.490,-2.00
305,2020-08-20,0.500,16.28
306,2020-08-19,0.430,-2.27
307,2020-08-18,0.440,2.33
308,2020-08-17,0.430,0.00
309,2020-08-14,0.430,0.00
310,2020-08-13,0.430,0.00
311,2020-08-11,0.430,3.61
312,2020-08-10,0.415,-1.19
313,2020-08-07,0.420,0.00
314,2020-08-06,0.420,-1.18
315,2020-08-05,0.425,0.00
316,2020-08-04,0.425,-1.16
317,2020-08-03,0.430,-20.37
318,2020-07-31,0.540,0.00
319,2020-07-30,0.540,0.00
320,2020-07-29,0.540,-1.82
321,2020-07-24,0.550,0.00
322,2020-07-23,0.550,0.00
323,2020-07-22,0.550,0.00
324,2020-07-21,0.550,0.00
325,2020-07-20,0.550,0.00
326,2020-07-17,0.550,0.00
327,2020-07-16,0.550,0.00
328,2020-07-15,0.550,0.00
329,2020-07-14,0.550,0.00
330,2020-07-13,0.550,0.00
331,2020-07-10,0.550,0.00
332,2020-07-09,0.550,0.00
333,2020-07-08,0.550,0.00
334,2020-07-07,0.550,0.00
335,2020-07-03,0.550,0.00
336,2020-07-02,0.550,0.00
337,2020-07-01,0.550,1.85
338,2020-06-30,0.540,-1.82
339,2020-06-29,0.550,-1.79
340,2020-06-26,0.560,-1.75
341,2020-06-25,0.570,-1.72
342,2020-06-24,0.580,0.00
343,2020-06-23,0.580,-1.69
