,date,interest,change
0,2022-05-09,21.670,6.54
1,2022-05-06,20.340,-0.12
2,2022-05-05,20.365,1.07
3,2022-04-29,20.150,2.03
4,2022-04-28,19.750,-0.35
5,2022-04-27,19.820,-0.90
6,2022-04-26,20.000,0.50
7,2022-04-25,19.900,-0.50
8,2022-04-22,20.000,-0.74
9,2022-04-21,20.150,-0.25
10,2022-04-20,20.200,-2.98
11,2022-04-19,20.820,1.56
12,2022-04-18,20.500,-2.38
13,2022-04-15,21.000,-1.41
14,2022-04-14,21.300,-1.16
15,2022-04-13,21.550,-1.15
16,2022-04-12,21.800,-1.58
17,2022-04-11,22.150,-1.12
18,2022-04-08,22.400,-0.44
19,2022-04-07,22.500,-0.88
20,2022-04-06,22.700,0.67
21,2022-04-05,22.550,0.67
22,2022-04-04,22.400,-0.88
23,2022-04-01,22.600,-0.66
24,2022-03-31,22.750,-0.13
25,2022-03-30,22.780,0.13
26,2022-03-29,22.750,0.00
27,2022-03-28,22.750,-2.36
28,2022-03-25,23.300,-2.92
29,2022-03-24,24.000,6.19
30,2022-03-23,22.600,0.44
31,2022-03-22,22.500,0.00
32,2022-03-21,22.500,1.35
33,2022-03-18,22.200,-1.33
34,2022-03-17,22.500,1.12
35,2022-03-16,22.250,0.14
36,2022-03-15,22.220,0.23
37,2022-03-14,22.170,0.32
38,2022-03-11,22.100,-0.23
39,2022-03-10,22.150,-0.67
40,2022-03-09,22.300,-0.89
41,2022-03-08,22.500,4.55
42,2022-03-07,21.520,2.48
43,2022-03-04,21.000,2.19
44,2022-03-03,20.550,0.49
45,2022-03-02,20.450,0.25
46,2022-03-01,20.400,-2.86
47,2022-02-28,21.000,0.00
48,2022-02-25,21.000,-1.18
49,2022-02-24,21.250,8.97
50,2022-02-23,19.500,3.17
51,2022-02-22,18.900,0.27
52,2022-02-21,18.850,0.80
53,2022-02-18,18.700,-1.06
54,2022-02-17,18.900,-0.53
55,2022-02-16,19.000,-0.78
56,2022-02-15,19.150,1.75
57,2022-02-11,18.820,1.18
58,2022-02-10,18.600,0.81
59,2022-02-09,18.450,-1.60
60,2022-02-08,18.750,0.00
61,2022-02-04,18.750,-1.32
62,2022-02-03,19.000,0.53
63,2022-02-02,18.900,0.80
64,2022-02-01,18.750,-6.25
65,2022-01-31,20.000,-1.48
66,2022-01-28,20.300,0.00
67,2022-01-27,20.300,1.75
68,2022-01-26,19.950,-2.21
69,2022-01-25,20.400,-2.86
70,2022-01-24,21.000,-3.63
71,2022-01-21,21.790,-1.04
72,2022-01-20,22.020,-0.68
73,2022-01-19,22.170,-1.73
74,2022-01-18,22.560,2.55
75,2022-01-14,22.000,-0.90
76,2022-01-13,22.200,-0.22
77,2022-01-12,22.250,-3.26
78,2022-01-11,23.000,1.10
79,2022-01-10,22.750,1.11
80,2022-01-07,22.500,2.74
81,2022-01-06,21.900,0.46
82,2022-01-05,21.800,-0.46
83,2022-01-04,21.900,-1.31
84,2021-12-31,22.190,2.45
85,2021-12-30,21.660,-0.78
86,2021-12-29,21.830,0.60
87,2021-12-28,21.700,0.93
88,2021-12-27,21.500,0.23
89,2021-12-24,21.450,0.42
90,2021-12-23,21.360,0.75
91,2021-12-22,21.200,-1.40
92,2021-12-21,21.500,1.42
93,2021-12-20,21.200,3.41
94,2021-12-17,20.500,0.00
95,2021-12-16,20.500,0.99
96,2021-12-15,20.300,1.50
97,2021-12-14,20.000,0.25
98,2021-12-13,19.950,1.01
99,2021-12-10,19.750,0.00
100,2021-12-09,19.750,-0.25
