,date,interest,change
0,2022-05-09,1.2820,-8.69
1,2022-05-08,1.4040,-0.21
2,2022-05-07,1.4070,0.64
3,2022-05-06,1.3980,-2.37
4,2022-05-05,1.4320,-7.43
5,2022-05-04,1.5470,-0.13
6,2022-05-03,1.5490,4.66
7,2022-05-02,1.4800,0.14
8,2022-05-01,1.4780,-0.74
9,2022-04-30,1.4890,-0.40
10,2022-04-29,1.4950,3.93
11,2022-04-28,1.4385,2.60
12,2022-04-27,1.4020,0.43
13,2022-04-26,1.3960,-3.92
14,2022-04-25,1.4530,-8.93
15,2022-04-24,1.5955,-0.93
16,2022-04-23,1.6105,0.34
17,2022-04-22,1.6050,-2.73
18,2022-04-21,1.6500,13.01
19,2022-04-20,1.4600,-0.88
20,2022-04-19,1.4730,2.97
21,2022-04-18,1.4305,0.00
22,2022-04-17,1.4305,-1.21
23,2022-04-16,1.4480,-0.82
24,2022-04-14,1.4600,5.57
25,2022-04-13,1.3830,-0.93
26,2022-04-12,1.3960,-3.99
27,2022-04-11,1.4540,4.53
28,2022-04-10,1.3910,-0.07
29,2022-04-09,1.3920,0.36
30,2022-04-08,1.3870,0.95
31,2022-04-07,1.3740,-1.01
32,2022-04-06,1.3880,0.73
33,2022-04-05,1.3780,8.08
34,2022-04-04,1.2750,-1.92
35,2022-04-03,1.3000,1.17
36,2022-04-01,1.2850,1.74
37,2022-03-31,1.2630,-1.71
38,2022-03-30,1.2850,0.31
39,2022-03-29,1.2810,0.39
40,2022-03-28,1.2760,-2.78
41,2022-03-27,1.3125,-1.69
42,2022-03-26,1.3350,-0.15
43,2022-03-25,1.3370,5.44
44,2022-03-24,1.2680,-1.40
45,2022-03-23,1.2860,-3.24
46,2022-03-22,1.3290,5.90
47,2022-03-21,1.2550,10.91
48,2022-03-20,1.1315,-1.52
49,2022-03-19,1.1490,0.44
50,2022-03-18,1.1440,-6.99
51,2022-03-17,1.2300,-7.80
52,2022-03-16,1.3340,1.75
53,2022-03-15,1.3110,-1.43
54,2022-03-14,1.3300,3.99
55,2022-03-13,1.2790,2.53
56,2022-03-12,1.2475,-0.60
57,2022-03-11,1.2550,-2.33
58,2022-03-10,1.2850,-5.03
59,2022-03-09,1.3530,5.62
60,2022-03-08,1.2810,12.76
61,2022-03-07,1.1360,11.21
62,2022-03-06,1.0215,-2.48
63,2022-03-05,1.0475,0.62
64,2022-03-04,1.0410,-5.71
65,2022-03-03,1.1040,5.34
66,2022-03-02,1.0480,41.05
67,2022-03-01,0.7430,-24.03
68,2022-02-28,0.9780,-12.01
69,2022-02-27,1.1115,-0.94
70,2022-02-26,1.1220,16.27
71,2022-02-25,0.9650,-6.94
72,2022-02-24,1.0370,-4.69
73,2022-02-23,1.0880,-6.13
74,2022-02-22,1.1590,4.23
75,2022-02-21,1.1120,3.39
76,2022-02-20,1.0755,0.84
77,2022-02-19,1.0665,-2.87
78,2022-02-18,1.0980,-3.35
79,2022-02-17,1.1360,-4.70
80,2022-02-16,1.1920,-8.87
81,2022-02-15,1.3080,-3.25
82,2022-02-14,1.3520,8.29
83,2022-02-12,1.2485,-2.76
84,2022-02-11,1.2840,5.77
85,2022-02-10,1.2140,5.66
86,2022-02-09,1.1490,-4.09
87,2022-02-08,1.1980,3.72
88,2022-02-07,1.1550,1.14
89,2022-02-06,1.1420,0.44
90,2022-02-05,1.1370,-1.39
91,2022-02-04,1.1530,10.44
92,2022-02-03,1.0440,14.22
93,2022-02-02,0.9140,-4.69
94,2022-02-01,0.9590,2.13
95,2022-01-31,0.9390,9.89
96,2022-01-30,0.8545,0.23
97,2022-01-29,0.8525,-1.67
98,2022-01-28,0.8670,0.93
99,2022-01-27,0.8590,7.11
100,2022-01-26,0.8020,2.43
101,2022-01-25,0.7830,4.40
102,2022-01-24,0.7500,1.21
103,2022-01-23,0.7410,0.41
104,2022-01-22,0.7380,-0.94
105,2022-01-21,0.7450,-2.61
106,2022-01-20,0.7650,-2.17
107,2022-01-19,0.7820,3.30
108,2022-01-18,0.7570,4.13
109,2022-01-17,0.7270,13.68
110,2022-01-16,0.6395,-2.29
111,2022-01-15,0.6545,-2.02
112,2022-01-14,0.6680,8.79
113,2022-01-13,0.6140,-6.40
114,2022-01-12,0.6560,-3.39
115,2022-01-11,0.6790,0.44
116,2022-01-10,0.6760,4.81
117,2022-01-09,0.6450,0.62
118,2022-01-08,0.6410,-4.75
119,2022-01-07,0.6730,2.12
120,2022-01-06,0.6590,7.15
121,2022-01-05,0.6150,2.33
122,2022-01-04,0.6010,17.15
123,2022-01-03,0.5130,3.64
124,2022-01-02,0.4950,0.61
125,2022-01-01,0.4920,-5.02
126,2021-12-31,0.5180,3.60
127,2021-12-30,0.5000,-4.21
128,2021-12-29,0.5220,8.19
129,2021-12-27,0.4825,0.00
130,2021-12-26,0.4825,1.47
131,2021-12-25,0.4755,-5.09
132,2021-12-24,0.5010,3.73
133,2021-12-23,0.4830,4.55
134,2021-12-22,0.4620,5.24
135,2021-12-21,0.4390,23.31
136,2021-12-20,0.3560,15.58
137,2021-12-19,0.3080,2.33
138,2021-12-18,0.3010,-3.53
139,2021-12-17,0.3120,2.30
140,2021-12-16,0.3050,7.77
141,2021-12-15,0.2830,21.46
142,2021-12-14,0.2330,18.88
143,2021-12-13,0.1960,-3.69
144,2021-12-12,0.2035,-5.79
145,2021-12-11,0.2160,-5.26
146,2021-12-10,0.2280,-5.00
147,2021-12-09,0.2400,-10.45
148,2021-12-08,0.2680,-4.63
149,2021-12-07,0.2810,1.08
150,2021-12-06,0.2780,-7.02
151,2021-12-05,0.2990,12.20
152,2021-12-04,0.2665,-8.73
153,2021-12-03,0.2920,-16.57
154,2021-12-02,0.3500,0.86
155,2021-12-01,0.3470,9.46
156,2021-11-30,0.3170,-11.70
157,2021-11-29,0.3590,33.21
158,2021-11-28,0.2695,-5.44
159,2021-11-27,0.2850,-4.04
160,2021-11-26,0.2970,-28.09
161,2021-11-25,0.4130,-2.36
162,2021-11-24,0.4230,-4.94
163,2021-11-23,0.4450,13.23
164,2021-11-22,0.3930,16.27
165,2021-11-21,0.3380,-4.52
166,2021-11-20,0.3540,-1.12
167,2021-11-19,0.3580,-9.37
168,2021-11-18,0.3950,-7.71
169,2021-11-17,0.4280,-10.83
170,2021-11-16,0.4800,9.59
171,2021-11-15,0.4380,12.45
172,2021-11-14,0.3895,-1.89
173,2021-11-13,0.3970,-2.22
174,2021-11-12,0.4060,-8.14
175,2021-11-11,0.4420,-2.43
176,2021-11-10,0.4530,37.69
177,2021-11-09,0.3290,30.04
178,2021-11-08,0.2530,15.26
179,2021-11-07,0.2195,-4.15
180,2021-11-06,0.2290,-3.78
181,2021-11-05,0.2380,-7.39
182,2021-11-04,0.2570,-47.44
183,2021-11-03,0.4890,4.26
184,2021-11-02,0.4690,-1.47
185,2021-11-01,0.4760,-18.98
186,2021-10-31,0.5875,2.35
187,2021-10-30,0.5740,-2.21
188,2021-10-29,0.5870,6.34
189,2021-10-28,0.5520,20.00
190,2021-10-27,0.4600,-11.03
191,2021-10-26,0.5170,-3.54
192,2021-10-25,0.5360,-5.05
193,2021-10-24,0.5645,3.77
194,2021-10-23,0.5440,-1.98
195,2021-10-22,0.5550,-6.57
196,2021-10-21,0.5940,0.85
197,2021-10-20,0.5890,-7.10
198,2021-10-19,0.6340,1.77
199,2021-10-18,0.6230,49.58
200,2021-10-17,0.4165,-2.12
201,2021-10-16,0.4255,-3.30
202,2021-10-15,0.4400,17.65
203,2021-10-14,0.3740,-13.43
204,2021-10-13,0.4320,4.85
205,2021-10-12,0.4120,-6.79
206,2021-10-11,0.4420,15.25
207,2021-10-10,0.3835,2.68
208,2021-10-09,0.3735,-3.49
209,2021-10-08,0.3870,18.71
210,2021-10-07,0.3260,4.15
211,2021-10-06,0.3130,7.56
212,2021-10-05,0.2910,20.25
213,2021-10-04,0.2420,3.86
214,2021-10-03,0.2330,7.87
215,2021-10-02,0.2160,-6.09
216,2021-10-01,0.2300,-4.96
217,2021-09-30,0.2420,2.11
218,2021-09-29,0.2370,0.00
219,2021-09-28,0.2370,0.42
220,2021-09-27,0.2360,-0.42
221,2021-09-26,0.2370,4.87
222,2021-09-25,0.2260,-7.38
223,2021-09-24,0.2440,-3.17
224,2021-09-23,0.2520,65.79
225,2021-09-22,0.1520,0.00
226,2021-09-21,0.1520,17.83
227,2021-09-20,0.1290,-15.13
228,2021-09-19,0.1520,3.05
229,2021-09-18,0.1475,-7.81
230,2021-09-17,0.1600,-3.03
231,2021-09-16,0.1650,5.10
232,2021-09-15,0.1570,19.85
233,2021-09-14,0.1310,-2.24
234,2021-09-13,0.1340,14.04
235,2021-09-12,0.1175,-17.25
236,2021-09-11,0.1420,-1.39
237,2021-09-10,0.1440,9.09
238,2021-09-09,0.1320,3.12
239,2021-09-08,0.1280,16.36
240,2021-09-07,0.1100,6.80
241,2021-09-06,0.1030,-0.48
242,2021-09-05,0.1035,-13.75
243,2021-09-03,0.1200,5.26
244,2021-09-02,0.1140,-10.94
245,2021-09-01,0.1280,21.90
246,2021-08-31,0.1050,57.89
247,2021-08-30,0.0665,-7.64
248,2021-08-27,0.0720,-28.00
249,2021-08-26,0.1000,0.00
250,2021-08-25,0.1000,-4.76
251,2021-08-24,0.1050,25.00
252,2021-08-23,0.0840,16.67
253,2021-08-20,0.0720,-8.86
254,2021-08-19,0.0790,-29.46
255,2021-08-18,0.1120,-3.45
256,2021-08-17,0.1160,18.37
257,2021-08-16,0.0980,-6.67
258,2021-08-13,0.1050,-7.89
259,2021-08-12,0.1140,44.30
260,2021-08-11,0.0790,-33.05
261,2021-08-10,0.1180,-5.60
262,2021-08-09,0.1250,12.61
263,2021-08-06,0.1110,40.51
264,2021-08-05,0.0790,71.74
265,2021-08-04,0.0460,-6.12
266,2021-08-03,0.0490,206.25
267,2021-08-02,0.0160,-11.11
268,2021-07-31,0.0180,-60.00
