,date,interest,change
0,2022-05-10,1.9453,0.94
1,2022-05-09,1.9271,-5.01
2,2022-05-08,2.0288,0.91
3,2022-05-06,2.0106,-2.54
4,2022-05-05,2.0630,2.46
5,2022-05-04,2.0135,-4.80
6,2022-05-03,2.1150,2.27
7,2022-05-02,2.0680,-1.40
8,2022-05-01,2.0973,1.91
9,2022-04-29,2.0580,3.53
10,2022-04-28,1.9879,1.48
11,2022-04-27,1.9590,-0.81
12,2022-04-26,1.9750,-2.32
13,2022-04-25,2.0220,-3.01
14,2022-04-24,2.0848,1.15
15,2022-04-22,2.0610,2.18
16,2022-04-21,2.0170,4.18
17,2022-04-20,1.9360,5.91
18,2022-04-19,1.8280,3.39
19,2022-04-18,1.7680,3.49
20,2022-04-17,1.7083,-1.65
21,2022-04-14,1.7370,3.21
22,2022-04-13,1.6830,-1.92
23,2022-04-12,1.7160,-3.81
24,2022-04-11,1.7840,-0.58
25,2022-04-10,1.7944,1.49
26,2022-04-08,1.7680,1.90
27,2022-04-07,1.7350,-1.59
28,2022-04-06,1.7630,1.03
29,2022-04-05,1.7450,2.71
30,2022-04-04,1.6990,-2.23
31,2022-04-03,1.7377,2.61
32,2022-04-01,1.6935,5.32
33,2022-03-31,1.6080,-2.07
34,2022-03-30,1.6420,-0.91
35,2022-03-29,1.6570,-1.13
36,2022-03-28,1.6760,1.59
37,2022-03-27,1.6497,-0.62
38,2022-03-25,1.6600,7.58
39,2022-03-24,1.5430,1.85
40,2022-03-23,1.5150,12.56
41,2022-03-22,1.3460,5.07
42,2022-03-21,1.2810,4.61
43,2022-03-20,1.2245,-0.04
44,2022-03-18,1.2250,0.25
45,2022-03-17,1.2220,-5.93
46,2022-03-16,1.2990,7.18
47,2022-03-15,1.2120,-1.22
48,2022-03-14,1.2270,5.75
49,2022-03-13,1.1603,-0.66
50,2022-03-11,1.1680,1.13
51,2022-03-10,1.1550,2.94
52,2022-03-09,1.1220,3.31
53,2022-03-08,1.0860,3.92
54,2022-03-07,1.0450,-0.45
55,2022-03-06,1.0497,2.01
56,2022-03-04,1.0290,-3.83
57,2022-03-03,1.0700,2.20
58,2022-03-02,1.0470,17.64
59,2022-03-01,0.8900,-11.97
60,2022-02-28,1.0110,-11.52
61,2022-02-27,1.1426,1.38
62,2022-02-25,1.1270,4.74
63,2022-02-24,1.0760,-6.43
64,2022-02-23,1.1500,5.41
65,2022-02-22,1.0910,6.31
66,2022-02-21,1.0262,3.34
67,2022-02-18,0.9930,-2.74
68,2022-02-17,1.0210,-2.67
69,2022-02-16,1.0490,-2.24
70,2022-02-15,1.0730,-2.81
71,2022-02-14,1.1040,4.45
72,2022-02-11,1.0570,-2.67
73,2022-02-10,1.0860,22.99
74,2022-02-09,0.8830,0.00
75,2022-02-08,0.8830,2.08
76,2022-02-07,0.8650,-3.67
77,2022-02-06,0.8980,1.70
78,2022-02-04,0.8830,15.12
79,2022-02-03,0.7670,3.09
80,2022-02-02,0.7440,-3.38
81,2022-02-01,0.7700,0.39
82,2022-01-31,0.7670,0.30
83,2022-01-30,0.7647,1.42
84,2022-01-28,0.7540,0.67
85,2022-01-27,0.7490,10.96
86,2022-01-26,0.6750,11.39
87,2022-01-25,0.6060,9.19
88,2022-01-24,0.5550,-0.86
89,2022-01-23,0.5598,1.41
90,2022-01-21,0.5520,-1.78
91,2022-01-20,0.5620,4.66
92,2022-01-19,0.5370,-2.36
93,2022-01-18,0.5500,7.02
94,2022-01-17,0.5139,4.66
95,2022-01-14,0.4910,7.91
96,2022-01-13,0.4550,0.44
97,2022-01-12,0.4530,1.80
98,2022-01-11,0.4450,0.68
99,2022-01-10,0.4420,5.36
100,2022-01-09,0.4195,0.60
101,2022-01-07,0.4170,-3.47
102,2022-01-06,0.4320,6.93
103,2022-01-05,0.4040,7.45
104,2022-01-04,0.3760,-5.29
105,2022-01-03,0.3970,0.10
106,2022-01-02,0.3966,3.28
107,2021-12-31,0.3840,1.32
108,2021-12-30,0.3790,-2.57
109,2021-12-29,0.3890,33.22
110,2021-12-28,0.2920,-1.68
111,2021-12-27,0.2970,4.39
112,2021-12-26,0.2845,0.89
113,2021-12-23,0.2820,6.82
114,2021-12-22,0.2640,-1.12
115,2021-12-21,0.2670,6.37
116,2021-12-20,0.2510,-3.09
117,2021-12-19,0.2590,0.00
118,2021-12-17,0.2590,5.28
119,2021-12-16,0.2460,-9.56
120,2021-12-15,0.2720,9.24
121,2021-12-14,0.2490,-1.97
122,2021-12-13,0.2540,-1.93
123,2021-12-12,0.2590,-1.15
124,2021-12-10,0.2620,-0.76
125,2021-12-09,0.2640,-8.01
126,2021-12-08,0.2870,-5.90
127,2021-12-07,0.3050,9.32
128,2021-12-06,0.2790,6.65
129,2021-12-05,0.2616,0.00
130,2021-12-03,0.2616,-0.15
131,2021-12-02,0.2620,3.15
