,date,interest,change
0,2022-05-10,1.978,0.00
1,2022-05-09,1.978,3.24
2,2022-05-06,1.916,-0.08
3,2022-05-05,1.918,-3.55
4,2022-05-04,1.988,5.41
5,2022-05-03,1.886,0.00
6,2022-05-02,1.886,-5.04
7,2022-04-29,1.986,-0.25
8,2022-04-28,1.991,-0.10
9,2022-04-27,1.993,-0.10
10,2022-04-26,1.995,0.05
11,2022-04-25,1.994,-0.60
12,2022-04-22,2.006,2.14
13,2022-04-21,1.964,-0.66
14,2022-04-20,1.977,-1.45
15,2022-04-19,2.006,-5.06
16,2022-04-18,2.113,1.49
17,2022-04-15,2.082,-1.37
18,2022-04-14,2.111,0.38
19,2022-04-13,2.103,-2.41
20,2022-04-12,2.155,11.92
21,2022-04-11,1.926,-4.96
22,2022-04-08,2.026,0.65
23,2022-04-07,2.013,4.57
24,2022-04-06,1.925,9.75
25,2022-04-05,1.754,0.75
26,2022-04-04,1.741,0.58
27,2022-04-01,1.731,0.41
28,2022-03-31,1.724,5.12
29,2022-03-30,1.640,-5.75
30,2022-03-29,1.740,1.16
31,2022-03-28,1.720,-2.82
32,2022-03-25,1.770,0.57
33,2022-03-24,1.760,-0.85
34,2022-03-23,1.775,-0.28
35,2022-03-22,1.780,3.85
36,2022-03-21,1.714,6.00
37,2022-03-18,1.617,1.00
38,2022-03-17,1.601,0.00
39,2022-03-16,1.601,0.00
40,2022-03-15,1.601,7.09
41,2022-03-14,1.495,0.67
42,2022-03-11,1.485,0.68
43,2022-03-10,1.475,-1.01
44,2022-03-09,1.490,0.74
45,2022-03-08,1.479,-0.07
46,2022-03-07,1.480,-0.34
47,2022-03-04,1.485,-4.62
48,2022-03-03,1.557,8.81
49,2022-03-02,1.431,-2.52
50,2022-03-01,1.468,6.15
51,2022-02-28,1.383,8.98
52,2022-02-25,1.269,17.17
53,2022-02-24,1.083,4.64
54,2022-02-23,1.035,1.87
55,2022-02-22,1.016,0.10
56,2022-02-21,1.015,1.50
57,2022-02-18,1.000,8.11
58,2022-02-17,0.925,11.18
59,2022-02-16,0.832,9.47
60,2022-02-15,0.760,3.12
61,2022-02-14,0.737,2.22
62,2022-02-11,0.721,2.12
63,2022-02-10,0.706,0.43
64,2022-02-09,0.703,8.99
65,2022-02-08,0.645,1.74
66,2022-02-07,0.634,20.08
67,2022-02-04,0.528,0.00
68,2022-02-03,0.528,0.00
69,2022-02-02,0.528,0.00
70,2022-02-01,0.528,0.00
71,2022-01-31,0.528,-15.92
72,2022-01-28,0.628,0.00
73,2022-01-27,0.628,-0.16
74,2022-01-26,0.629,-2.63
75,2022-01-25,0.646,1.10
76,2022-01-24,0.639,-3.62
77,2022-01-21,0.663,1.22
78,2022-01-20,0.655,-2.38
79,2022-01-19,0.671,-4.69
80,2022-01-18,0.704,-0.14
81,2022-01-17,0.705,1.15
82,2022-01-14,0.697,-1.27
83,2022-01-13,0.706,1.15
84,2022-01-12,0.698,-0.14
85,2022-01-11,0.699,-2.92
